SEQ,ID,UPDATE,STATUS,MOTIVE,INTEREST_RATE,AMOUNT,CAT,TXN,CP,DELIVERY_SCORE
61,19,2019-11-14 13:03:32.369759998,DELIVERED,,,,,,11560,0
62,20,2019-11-12 14:20:08.417673600,RESPONSE,,,,,,,
63,20,2019-11-14 17:12:18.883008000,RISK,,,,,,,
64,20,2019-11-22 01:45:56.924323200,APPROVED,PLASTIC,32,56200,48,,,
65,20,2019-11-23 03:13:47.284233600,DELIVERED,,,,,,44100,2
66,20,2019-11-29 23:40:00.795993600,,,,,,18.245833757499327,,
67,20,2019-12-02 19:25:19.509744000,,,,,,261.9489260889365,,
68,22,2019-11-11 04:44:03.705072000,RESPONSE,,,,,,,
69,22,2019-11-14 01:27:23.203872000,RISK,,,,,,,
70,22,2019-11-17 23:08:16.578268800,REJECTED,USAGE,,,,,,
71,23,2019-11-11 18:07:11.866944000,RESPONSE,,,,,,,
72,23,2019-11-11 23:42:38.402899200,RISK,,,,,,,
73,23,2019-11-21 00:43:55.354828800,REJECTED,MOP,,,,,,
74,24,2019-11-11 09:20:52.763971200,RESPONSE,,,,,,,
75,24,2019-11-11 15:47:07.391529600,RISK,,,,,,,
76,24,2019-11-15 05:09:12.568406400,REJECTED,INCOME,,,,,,
77,26,2019-11-12 01:48:12.089779200,RESPONSE,,,,,,,
78,26,2019-11-13 10:58:57.761558400,RISK,,,,,,,
79,26,2019-11-13 17:02:55.776191999,APPROVED,PLASTIC,36,14900,47,,,
80,26,2019-11-14 16:13:56.759145599,DELIVERED,,,,,,44100,3
81,27,2019-11-11 11:24:42.027984000,RESPONSE,,,,,,,
82,27,2019-11-11 22:13:53.462208000,RISK,,,,,,,
83,27,2019-11-14 01:49:44.943513599,REJECTED,INCOME,,,,,,
84,28,2019-11-11 02:11:37.901673600,RESPONSE,,,,,,,
85,28,2019-12-03 21:02:29.997916799,RISK,,,,,,,
86,28,2019-12-07 17:46:16.106793599,APPROVED,PLASTIC,46,14900,37,,,
87,28,2019-12-09 12:55:24.797193599,DELIVERED,,,,,,11560,4
88,28,2019-12-10 03:12:44.095939199,,,,,,107.4273582620784,,
89,28,2019-12-10 06:01:36.768691199,,,,,,288.90457530191435,,
90,29,2019-11-11 01:28:47.912246400,RESPONSE,,,,,,,
91,29,2019-11-15 06:01:31.674374400,RISK,,,,,,,
92,29,2019-11-17 03:51:43.951881600,APPROVED,PLASTIC,42,51600,42,,,
93,29,2019-11-17 11:33:34.621776000,DELIVERED,,,,,,11560,2
94,30,2019-11-11 00:00:00.000000000,,,,,,,,
95,31,2019-11-11 13:22:54.642864000,RESPONSE,,,,,,,
96,31,2019-11-13 18:21:00.487180800,RISK,,,,,,,
97,31,2019-11-16 17:27:18.788083200,APPROVED,PLASTIC,35,39700,37,,,
98,31,2019-11-18 06:22:32.718662399,DELIVERED,,,,,,64000,1
99,31,2019-11-22 21:00:21.010924799,,,,,,239.91075539592453,,
100,31,2019-12-14 16:23:37.624099199,,,,,,30.66072102109111,,
101,33,2019-11-16 06:56:26.007964800,RESPONSE,,,,,,,
102,33,2019-11-22 08:48:04.689993600,RISK,,,,,,,
103,33,2019-11-28 23:54:43.408800000,APPROVED,PLASTIC,35,36000,43,,,
104,33,2019-12-02 16:44:43.324828800,DELIVERED,,,,,,53100,3
105,33,2020-01-03 23:16:45.935817600,,,,,,189.50278499581898,,
106,35,2019-11-12 04:33:54.236361600,RESPONSE,,,,,,,
107,35,2019-11-12 17:14:55.319625600,RISK,,,,,,,
108,35,2019-11-15 08:20:06.663235200,APPROVED,DIGITAL,39,2000,43,,,
109,35,2019-12-04 01:44:07.430467200,,,,,,96.61347960705757,,
110,35,2020-10-31 15:54:24.730876800,,,,,,827.890672562548,,
111,35,2020-12-03 20:42:07.404220800,,,,,,711.5427222124439,,
112,35,2020-12-04 15:25:04.207843200,,,,,,83.79012510388192,,
113,35,2020-12-10 17:34:07.369536000,,,,,,119.34156418384426,,
114,37,2019-12-15 16:50:37.527590400,RESPONSE,,,,,,,
115,37,2019-12-24 06:11:35.494771200,RISK,,,,,,,
116,37,2019-12-26 02:16:10.006550400,APPROVED,DIGITAL,45,3200,35,,,
117,37,2019-12-26 05:06:25.439529600,,,,,,1529.7381756629684,,
118,38,2019-11-11 00:00:00.000000000,,,,,,,,
119,41,2019-11-11 03:45:03.766089600,RESPONSE,,,,,,,
120,41,2019-11-12 22:15:31.452076800,RISK,,,,,,,
121,41,2019-11-15 17:48:27.445420800,REJECTED,USAGE,,,,,,
122,43,2019-11-11 00:00:00.000000000,,,,,,,,
123,44,2019-11-28 20:26:29.647910400,RESPONSE,,,,,,,
124,44,2019-12-06 03:30:40.347216000,RISK,,,,,,,
125,44,2019-12-08 11:06:12.448857600,APPROVED,DIGITAL,49,13200,35,,,
126,45,2019-11-17 18:32:37.905734400,RESPONSE,,,,,,,
127,45,2019-11-20 09:38:24.298454400,RISK,,,,,,,
128,45,2019-11-23 02:40:50.772777600,APPROVED,PLASTIC,35,13000,45,,,
129,45,2019-11-23 23:33:48.458304000,DELIVERED,,,,,,53100,2
130,46,2019-11-11 00:00:00.000000000,,,,,,,,
131,47,2019-11-21 16:57:29.085955200,RESPONSE,,,,,,,
132,47,2019-11-25 00:09:24.349852799,RISK,,,,,,,
133,47,2019-11-25 13:43:46.295644799,APPROVED,PLASTIC,46,15100,41,,,
134,47,2019-11-29 04:29:23.981999999,DELIVERED,,,,,,44100,3
135,47,2019-12-07 04:15:34.651295999,,,,,,51.240022987656815,,
136,49,2019-11-14 17:18:08.155353600,RESPONSE,,,,,,,
137,49,2019-11-16 00:27:43.853097600,RISK,,,,,,,
138,49,2019-11-17 13:24:41.363798400,APPROVED,PLASTIC,46,7900,44,,,
139,49,2019-11-17 23:50:56.902300800,DELIVERED,,,,,,53100,2
140,49,2019-11-19 14:22:39.798163200,,,,,,594.7261333445531,,
141,51,2019-11-11 14:38:29.898355200,RESPONSE,,,,,,,
142,51,2019-11-12 09:35:23.486841600,RISK,,,,,,,
143,51,2019-11-21 06:59:37.248835200,APPROVED,PLASTIC,40,5100,39,,,
144,51,2019-11-22 02:33:57.644697600,DELIVERED,,,,,,11560,1
145,51,2019-12-15 12:15:45.820108800,,,,,,54.19228183083057,,
146,51,2019-12-15 14:40:20.617190400,,,,,,534.6157336658164,,
147,51,2019-12-16 06:09:48.307276800,,,,,,377.7184525098056,,
148,51,2019-12-16 17:53:13.756876800,,,,,,259.65058313982604,,
149,51,2019-12-17 15:15:58.093660800,,,,,,290.26858209711406,,
150,52,2019-11-11 04:20:34.689379200,RESPONSE,,,,,,,
151,52,2019-11-12 11:53:42.835401600,RISK,,,,,,,
152,52,2019-11-13 23:36:32.149411200,REJECTED,MOP,,,,,,
153,53,2019-11-13 05:22:43.875811200,RESPONSE,,,,,,,
154,53,2019-11-14 03:12:40.419878400,RISK,,,,,,,
155,53,2019-11-19 09:51:23.488214400,APPROVED,PLASTIC,33,17200,34,,,
156,53,2019-11-21 17:35:56.252371200,DELIVERED,,,,,,11560,3
157,53,2019-12-06 17:59:44.124259200,,,,,,77.98098016797564,,
158,53,2019-12-08 11:47:40.650662400,,,,,,118.4484228363588,,
159,53,2019-12-08 21:20:00.347424000,,,,,,1410.0128079238093,,
160,54,2019-11-11 05:42:07.092403200,RESPONSE,,,,,,,
161,54,2019-11-16 20:24:52.564464000,RISK,,,,,,,
162,54,2019-11-18 18:16:32.114611200,REJECTED,EMPTY,,,,,,
163,56,2019-11-11 00:00:00.000000000,,,,,,,,
164,57,2019-11-11 00:00:00.000000000,,,,,,,,
165,58,2019-11-11 08:02:57.092841600,RESPONSE,,,,,,,
166,58,2019-11-11 19:48:56.157148800,RISK,,,,,,,
167,58,2019-11-14 14:43:20.935545600,APPROVED,DIGITAL,30,17100,32,,,
168,58,2019-11-14 17:02:04.089465600,,,,,,217.33544488457528,,
169,58,2019-11-16 10:10:19.829135999,,,,,,279.47752937014445,,
170,58,2019-11-19 04:55:57.960479999,,,,,,26.511698189845557,,
171,58,2019-11-21 01:44:00.920831999,,,,,,35.955948411184266,,
172,59,2019-11-16 17:20:19.282819200,RESPONSE,,,,,,,
173,59,2019-11-16 21:07:40.291507200,RISK,,,,,,,
174,59,2019-11-17 12:13:21.236534400,APPROVED,PLASTIC,49,4800,40,,,
175,59,2019-11-18 16:45:06.673910399,DELIVERED,,,,,,64000,1
176,59,2019-11-23 06:43:27.009407999,,,,,,575.3818641117679,,
177,59,2019-11-23 15:42:03.453523199,,,,,,999.1450206061224,,
178,59,2019-11-30 15:05:07.101110399,,,,,,640.7733108164447,,
179,60,2020-05-26 22:58:14.991312000,RESPONSE,,,,,,,
180,60,2020-05-27 18:27:18.009648000,RISK,,,,,,,
181,60,2020-06-18 09:19:37.441747200,APPROVED,PLASTIC,31,13100,36,,,
182,60,2020-06-21 08:00:23.834275200,DELIVERED,,,,,,44620,2
183,60,2020-06-24 17:43:01.890739200,,,,,,163.5850142044101,,
184,60,2020-07-11 04:27:31.331606400,,,,,,7959.955537184202,,
185,62,2019-11-11 03:33:32.925254400,RESPONSE,,,,,,,
186,62,2019-11-11 23:36:27.814204800,RISK,,,,,,,
187,62,2019-11-13 23:39:48.734467200,APPROVED,DIGITAL,43,8200,34,,,
188,62,2019-11-17 04:56:10.263667200,,,,,,126.68281489885342,,
189,62,2019-11-19 12:44:33.562377600,,,,,,1054.3841751422224,,
190,62,2019-11-20 17:36:13.758998400,,,,,,99.20259855846248,,
191,62,2019-11-21 04:50:15.984700800,,,,,,137.37312158581994,,
192,64,2019-11-13 23:21:21.243024000,RESPONSE,,,,,,,
193,64,2019-11-16 19:18:18.076809600,RISK,,,,,,,
194,64,2019-11-28 06:57:34.401859200,APPROVED,PLASTIC,33,15300,39,,,
195,64,2019-12-02 13:29:30.104822400,DELIVERED,,,,,,44620,2
196,64,2019-12-02 21:03:09.836265599,,,,,,16404.298299265105,,
197,64,2020-03-30 17:58:20.063711999,,,,,,23157.11790756353,,
198,64,2020-04-09 18:41:53.138313599,,,,,,373.2864394114313,,
199,65,2019-12-19 06:17:41.599996800,RESPONSE,,,,,,,
200,65,2019-12-19 15:37:36.725404800,RISK,,,,,,,
201,65,2019-12-24 14:19:26.176800000,APPROVED,DIGITAL,36,5200,43,,,
202,65,2019-12-27 10:52:01.844140800,,,,,,35.115411574081676,,
203,65,2019-12-29 19:58:18.319526400,,,,,,780.6038431251255,,
204,66,2019-11-12 03:23:22.851398400,RESPONSE,,,,,,,
205,66,2019-11-13 04:41:53.800512000,RISK,,,,,,,
206,66,2019-11-17 09:15:28.107331200,REJECTED,USAGE,,,,,,
207,68,2019-11-13 05:20:20.222764800,RESPONSE,,,,,,,
208,68,2019-11-14 06:27:31.327603200,RISK,,,,,,,
209,68,2019-11-14 21:50:00.969561600,REJECTED,INCOME,,,,,,
210,69,2019-11-19 08:45:43.129987200,RESPONSE,,,,,,,
211,69,2019-11-27 00:27:05.262710400,RISK,,,,,,,
212,69,2019-12-04 00:55:05.156400000,APPROVED,PLASTIC,30,14800,31,,,
213,69,2019-12-06 02:31:07.657708800,DELIVERED,,,,,,44100,4
214,69,2019-12-10 14:02:05.435923200,,,,,,117.12752752076125,,
215,69,2019-12-10 15:28:46.608960000,,,,,,244.37678271249757,,
216,69,2019-12-10 20:29:07.522656000,,,,,,558.3251414280736,,
217,70,2019-11-11 11:51:42.595891200,RESPONSE,,,,,,,
218,70,2019-11-13 03:49:21.904665600,RISK,,,,,,,
219,70,2019-11-18 09:59:25.716854400,REJECTED,EMPTY,,,,,,
220,71,2019-11-11 00:00:00.000000000,,,,,,,,
221,72,2019-11-13 11:36:05.233219200,RESPONSE,,,,,,,
222,72,2019-11-14 14:11:34.742198400,RISK,,,,,,,
223,72,2019-11-18 01:15:14.896627200,APPROVED,PLASTIC,32,300,32,,,
224,72,2019-11-19 07:11:13.798377600,DELIVERED,,,,,,53100,0
225,72,2019-11-20 21:18:54.026265600,,,,,,3358.294171188483,,
226,75,2019-11-12 23:46:25.595760000,RESPONSE,,,,,,,
227,75,2019-11-13 05:26:17.098310400,RISK,,,,,,,
228,75,2019-11-14 00:09:24.125385600,APPROVED,DIGITAL,37,0,42,,,
229,76,2019-12-24 22:19:12.005788800,RESPONSE,,,,,,,
230,76,2019-12-26 01:13:15.353500800,RISK,,,,,,,
231,76,2019-12-28 17:35:11.804064000,APPROVED,DIGITAL,47,39200,42,,,
232,76,2019-12-29 04:01:25.076812800,,,,,,56.206471392919426,,
233,77,2019-11-12 09:30:15.850569600,RESPONSE,,,,,,,
234,77,2019-11-14 01:52:53.300870400,RISK,,,,,,,
235,77,2019-11-14 14:28:43.523414400,APPROVED,DIGITAL,45,2900,32,,,
236,77,2019-11-14 22:22:23.961705600,,,,,,81.21768078452375,,
237,77,2019-11-20 20:59:01.684924800,,,,,,9461.727152572548,,
238,77,2019-11-22 09:58:08.215968000,,,,,,18.383233401797774,,
239,77,2019-11-30 00:53:11.513011200,,,,,,533.3906621006784,,
240,78,2019-11-11 00:00:00.000000000,,,,,,,,
241,79,2019-11-14 08:36:18.801475200,RESPONSE,,,,,,,
242,79,2019-11-16 22:53:56.440176000,RISK,,,,,,,
243,79,2019-11-19 20:26:04.636665600,APPROVED,PLASTIC,38,78900,35,,,
244,79,2019-11-23 23:50:27.561638400,DELIVERED,,,,,,53100,1
245,79,2020-01-08 11:44:05.194723200,,,,,,4106.537791845193,,
246,79,2020-01-08 21:06:15.158822400,,,,,,44.998561528232706,,
247,79,2020-01-09 03:34:33.821616000,,,,,,2.800887013291704,,
248,79,2020-01-09 08:24:56.510006400,,,,,,57.08818007055178,,
249,80,2019-11-13 11:17:07.404748800,RESPONSE,,,,,,,
250,80,2019-11-15 12:33:19.678665600,RISK,,,,,,,
251,80,2019-11-16 16:03:43.473542399,REJECTED,MOP,,,,,,
252,81,2019-11-11 00:00:00.000000000,,,,,,,,
253,83,2019-11-11 00:00:00.000000000,,,,,,,,
254,85,2019-11-12 13:03:15.692745600,RESPONSE,,,,,,,
255,85,2019-11-17 04:04:33.943843200,RISK,,,,,,,
256,85,2019-11-18 02:41:49.819228800,REJECTED,INCOME,,,,,,
257,86,2019-12-09 20:24:16.916256000,RESPONSE,,,,,,,
258,86,2019-12-11 21:19:23.354054400,RISK,,,,,,,
259,86,2019-12-21 19:56:15.862819200,REJECTED,EMPTY,,,,,,
260,88,2019-11-11 07:23:48.173539200,RESPONSE,,,,,,,
261,88,2019-11-12 06:21:46.737446400,RISK,,,,,,,
262,88,2019-11-16 21:41:22.943241600,APPROVED,PLASTIC,38,18200,43,,,
263,88,2019-11-20 01:18:28.572249600,DELIVERED,,,,,,53100,3
264,88,2019-11-25 03:22:13.346486400,,,,,,507.3562627242164,,
265,89,2019-11-11 06:19:18.778569600,RESPONSE,,,,,,,
266,89,2019-11-16 21:32:12.268435200,RISK,,,,,,,
267,89,2019-11-21 03:22:54.876979200,APPROVED,PLASTIC,36,4300,39,,,
268,89,2019-11-21 22:19:24.371616000,DELIVERED,,,,,,44100,3
269,89,2019-12-04 13:24:03.580387200,,,,,,149.74485823153154,,
270,89,2019-12-15 22:27:01.787472000,,,,,,1682.415673356762,,
271,89,2019-12-16 00:56:16.987113600,,,,,,138.8226504591667,,
272,89,2019-12-16 02:48:55.839916800,,,,,,1355.4118192616045,,
273,89,2019-12-19 08:46:12.872409600,,,,,,46.09894062383486,,
274,92,2019-11-14 18:57:11.550614400,RESPONSE,,,,,,,
275,92,2019-11-17 10:09:30.895804800,RISK,,,,,,,
276,92,2019-11-20 01:38:54.354710400,APPROVED,PLASTIC,43,1700,37,,,
277,92,2019-11-24 04:45:03.720844800,DELIVERED,,,,,,11560,1
278,94,2020-01-30 03:01:08.573865600,RESPONSE,,,,,,,
279,94,2020-02-02 12:35:24.677952000,RISK,,,,,,,
280,94,2020-02-04 01:27:52.226323200,APPROVED,DIGITAL,42,200,34,,,
281,94,2020-02-05 21:26:04.415510400,,,,,,3797.149191333695,,
282,94,2020-02-14 00:12:30.554380800,,,,,,772.8277325655922,,
283,94,2020-02-14 17:50:12.225897600,,,,,,56.89397721179896,,
284,94,2020-02-25 21:04:48.633542400,,,,,,1667.1416392688266,,
285,94,2020-02-25 21:17:48.290726400,,,,,,78.58900051795355,,
286,96,2019-11-11 00:00:00.000000000,,,,,,,,
287,98,2019-11-11 00:00:00.000000000,,,,,,,,
288,99,2019-11-11 06:24:44.312515200,RESPONSE,,,,,,,
289,99,2019-11-13 14:19:23.109254400,RISK,,,,,,,
290,99,2019-11-19 13:20:45.947731200,APPROVED,DIGITAL,48,1400,48,,,
291,99,2019-11-20 19:30:41.834707200,,,,,,125.38536602175598,,
292,99,2019-12-05 19:31:28.330348799,,,,,,459.66389683439206,,
293,99,2019-12-08 00:19:32.327126399,,,,,,7135.489459209366,,
294,101,2019-11-11 10:45:39.720096000,RESPONSE,,,,,,,
295,101,2019-11-12 04:23:32.336764800,RISK,,,,,,,
296,101,2019-11-14 15:24:35.123616000,APPROVED,DIGITAL,33,24600,34,,,
297,101,2019-11-15 14:04:26.245804800,,,,,,17477.807992554066,,
298,101,2019-11-22 11:45:14.067964800,,,,,,233.34934446417526,,
299,101,2019-11-23 11:32:16.232784000,,,,,,364.64604836963343,,
300,103,2019-11-12 10:46:07.744368000,RESPONSE,,,,,,,
301,103,2019-11-18 18:34:59.070633600,RISK,,,,,,,
302,103,2019-11-19 09:54:48.543926399,REJECTED,USAGE,,,,,,
303,104,2019-11-11 06:45:14.044924800,RESPONSE,,,,,,,
304,104,2019-11-14 05:41:59.108092800,RISK,,,,,,,
305,104,2019-11-18 03:44:56.207126400,APPROVED,PLASTIC,34,19100,35,,,
306,104,2019-12-12 12:58:33.645475200,DELIVERED,,,,,,44100,2
307,104,2019-12-17 23:59:16.023696000,,,,,,373.5732293394532,,
308,104,2019-12-18 09:08:16.648800000,,,,,,153.84351241383283,,
309,104,2019-12-19 03:23:23.048995200,,,,,,20.27548844723049,,
310,105,2019-12-05 05:31:21.879235200,RESPONSE,,,,,,,
311,105,2019-12-06 14:30:35.743536000,RISK,,,,,,,
312,105,2019-12-06 21:37:35.599699200,APPROVED,PLASTIC,49,2700,48,,,
313,105,2019-12-09 19:31:22.892073600,DELIVERED,,,,,,53100,2
314,108,2019-11-11 00:00:00.000000000,,,,,,,,
315,114,2019-11-12 07:33:25.377033600,RESPONSE,,,,,,,
316,114,2019-11-12 20:30:57.929932800,RISK,,,,,,,
317,114,2019-11-19 04:40:09.904857600,REJECTED,MOP,,,,,,
318,115,2019-11-23 20:45:46.432368000,RESPONSE,,,,,,,
319,115,2019-11-24 10:33:49.544668800,RISK,,,,,,,
320,115,2019-11-27 02:34:48.384739200,APPROVED,PLASTIC,46,27400,32,,,
321,115,2019-11-29 04:00:32.026867200,DELIVERED,,,,,,64000,1
322,115,2019-12-12 12:02:57.476659200,,,,,,1657.5374698593191,,
323,115,2020-01-02 03:41:51.668217600,,,,,,2.5321605013061594,,
324,115,2020-01-18 08:25:54.690988800,,,,,,356.7106311726161,,
325,115,2020-01-20 02:10:41.552371200,,,,,,13.876034992539893,,
326,115,2020-01-20 05:44:15.442281599,,,,,,1.5189214961726072,,
327,116,2019-11-11 00:00:00.000000000,,,,,,,,
328,117,2019-11-11 03:45:37.541836800,RESPONSE,,,,,,,
329,117,2019-11-14 21:01:32.547964800,RISK,,,,,,,
330,117,2019-11-15 21:32:25.583539200,APPROVED,DIGITAL,44,24400,46,,,
331,117,2019-11-16 19:34:41.221545600,,,,,,6798.163804598008,,
332,117,2019-11-18 19:38:33.124502400,,,,,,351.9476371417037,,
333,117,2019-11-18 23:52:30.866275200,,,,,,8.981292160664832,,
334,118,2019-11-19 08:43:41.512224000,RESPONSE,,,,,,,
335,118,2019-11-20 07:48:36.489312000,RISK,,,,,,,
336,118,2019-11-20 13:37:09.482822400,APPROVED,DIGITAL,40,36700,33,,,
337,118,2019-11-28 10:10:38.703820800,,,,,,257.6856616874066,,
338,118,2019-11-29 23:22:22.582963200,,,,,,130.7528601916931,,
339,118,2019-12-01 23:04:40.750464000,,,,,,27.659091114298874,,
340,118,2019-12-02 05:15:11.138688000,,,,,,196.3570690333245,,
341,118,2019-12-02 09:12:44.969184000,,,,,,1485.228150397511,,
342,119,2019-11-25 00:07:21.183456000,RESPONSE,,,,,,,
343,119,2019-11-26 06:05:15.198950400,RISK,,,,,,,
344,119,2019-11-26 13:44:41.995564800,APPROVED,DIGITAL,35,9700,47,,,
345,119,2020-05-03 00:31:00.847344000,,,,,,121.21881536070816,,
346,119,2020-05-03 18:39:00.448041599,,,,,,102.30017112310571,,
347,120,2019-11-11 03:43:12.171676800,RESPONSE,,,,,,,
348,120,2019-11-12 17:10:19.391116800,RISK,,,,,,,
349,120,2019-11-13 12:43:23.577427200,APPROVED,DIGITAL,43,700,34,,,
350,120,2019-11-30 23:31:30.074188800,,,,,,1929.780900942716,,
351,120,2019-12-01 05:25:32.576044800,,,,,,14.678915656227419,,
352,122,2019-11-12 19:12:07.138195200,RESPONSE,,,,,,,
353,122,2019-11-14 11:13:14.487801600,RISK,,,,,,,
354,122,2019-11-18 05:04:31.351440000,REJECTED,INCOME,,,,,,
355,123,2019-11-11 00:00:00.000000000,,,,,,,,
356,124,2019-11-13 17:13:34.042972800,RESPONSE,,,,,,,
357,124,2019-11-14 20:19:30.956534400,RISK,,,,,,,
358,124,2019-11-17 22:33:59.859792000,REJECTED,INCOME,,,,,,
359,125,2019-11-11 00:00:00.000000000,,,,,,,,
360,126,2019-11-16 17:26:47.789836800,RESPONSE,,,,,,,
361,126,2019-11-17 17:06:03.654720000,RISK,,,,,,,
362,126,2019-11-21 13:50:38.659084800,REJECTED,MOP,,,,,,
363,127,2019-11-11 01:08:27.744316800,RESPONSE,,,,,,,
364,127,2019-11-11 07:43:23.506780800,RISK,,,,,,,
365,127,2019-11-12 05:55:19.755379200,APPROVED,DIGITAL,33,12600,44,,,
366,127,2019-11-16 07:04:28.262784000,,,,,,134.4055232513719,,
367,127,2019-11-18 15:33:11.231424000,,,,,,65.59245668366015,,
368,127,2019-11-19 08:40:54.317596800,,,,,,60.192266359389784,,
369,128,2019-11-17 02:28:53.106038400,RESPONSE,,,,,,,
370,128,2019-11-18 01:53:03.081091200,RISK,,,,,,,
371,128,2019-11-18 16:56:51.170870400,REJECTED,USAGE,,,,,,
372,129,2019-11-17 10:43:02.881113600,RESPONSE,,,,,,,
373,129,2019-11-22 00:54:25.215926400,RISK,,,,,,,
374,129,2019-11-23 08:08:59.408908800,APPROVED,PLASTIC,45,23600,37,,,
375,129,2019-11-26 20:35:02.847839999,DELIVERED,,,,,,44100,0
376,129,2019-11-26 23:03:46.017273599,,,,,,44.75454473173381,,
377,129,2019-12-30 02:07:01.417958399,,,,,,317.93214195955534,,
378,129,2019-12-30 09:36:14.179449599,,,,,,26441.910771117553,,
379,129,2019-12-30 11:34:24.820780799,,,,,,504.29259089870254,,
380,130,2019-11-17 05:44:28.867113600,RESPONSE,,,,,,,
381,130,2019-11-18 04:43:31.895443200,RISK,,,,,,,
382,130,2019-11-22 19:24:02.016201599,REJECTED,USAGE,,,,,,
383,131,2019-11-11 00:00:00.000000000,,,,,,,,
